"d_id","age","capacity","model","fail"
1,15,"1TB","Hitachi",TRUE
2,23,"1TB","Fujitsu",TRUE
3,23,"1TB","Seagate",TRUE
4,14,"1TB","Hitachi",TRUE
5,18,"600GB","Hitachi",TRUE
6,19,"1TB","Fujitsu",TRUE
7,17,"1TB","Toshiba",TRUE
8,25,"1TB","Fujitsu",TRUE
9,18,"600GB","Seagate",TRUE
10,19,"1TB","Toshiba",TRUE
11,25,"600GB","Hitachi",TRUE
12,14,"1TB","Seagate",TRUE
13,17,"1TB","Seagate",TRUE
14,23,"1TB","Hitachi",TRUE
15,22,"600GB","Hitachi",TRUE
16,15,"1TB","Hitachi",TRUE
17,13,"600GB","Hitachi",TRUE
18,30,"600GB","Toshiba",TRUE
19,19,"1TB","Seagate",TRUE
20,19,"600GB","Hitachi",TRUE
21,17,"600GB","Hitachi",TRUE
22,10,"1TB","Hitachi",TRUE
23,17,"1TB","Fujitsu",TRUE
24,21,"1TB","Toshiba",TRUE
25,20,"300GB","Hitachi",TRUE
26,19,"300GB","Fujitsu",TRUE
27,21,"600GB","Seagate",TRUE
28,15,"600GB","Toshiba",TRUE
29,16,"1TB","Seagate",TRUE
30,22,"300GB","Hitachi",TRUE
31,21,"1TB","Fujitsu",TRUE
32,22,"300GB","Hitachi",TRUE
33,19,"600GB","Toshiba",TRUE
34,21,"1TB","Hitachi",TRUE
35,22,"600GB","Hitachi",TRUE
36,16,"1TB","Hitachi",TRUE
37,20,"300GB","Hitachi",TRUE
38,20,"600GB","Toshiba",TRUE
39,19,"600GB","Hitachi",TRUE
40,18,"600GB","Seagate",TRUE
41,12,"600GB","Seagate",TRUE
42,21,"600GB","Hitachi",TRUE
43,17,"1TB","Hitachi",TRUE
44,21,"1TB","Seagate",TRUE
45,20,"600GB","Toshiba",TRUE
46,15,"600GB","Hitachi",TRUE
47,16,"1TB","Hitachi",TRUE
48,10,"1TB","Toshiba",TRUE
49,18,"1TB","Hitachi",TRUE
50,25,"1TB","Fujitsu",TRUE
51,17,"1TB","Seagate",TRUE
52,18,"1TB","Hitachi",TRUE
53,16,"600GB","Seagate",TRUE
54,18,"600GB","Hitachi",TRUE
55,21,"600GB","Hitachi",TRUE
56,14,"1TB","Fujitsu",TRUE
57,13,"1TB","Hitachi",TRUE
58,21,"600GB","Hitachi",TRUE
59,15,"600GB","Hitachi",TRUE
60,21,"1TB","Hitachi",TRUE
61,27,"1TB","Fujitsu",TRUE
62,13,"1TB","Hitachi",TRUE
63,16,"1TB","Toshiba",TRUE
64,14,"600GB","Hitachi",TRUE
65,14,"1TB","Hitachi",TRUE
66,16,"300GB","Toshiba",TRUE
67,15,"600GB","Seagate",TRUE
68,13,"1TB","Hitachi",TRUE
69,20,"1TB","Hitachi",TRUE
70,16,"300GB","Seagate",TRUE
71,12,"600GB","Hitachi",TRUE
72,20,"300GB","Hitachi",TRUE
73,18,"1TB","Hitachi",TRUE
74,14,"1TB","Toshiba",TRUE
75,19,"600GB","Hitachi",TRUE
76,12,"300GB","Seagate",TRUE
77,15,"600GB","Fujitsu",TRUE
78,20,"600GB","Hitachi",TRUE
79,18,"600GB","Seagate",TRUE
80,14,"1TB","Seagate",TRUE
81,22,"600GB","Seagate",TRUE
82,20,"1TB","Hitachi",TRUE
83,26,"1TB","Hitachi",TRUE
84,22,"600GB","Hitachi",TRUE
85,20,"600GB","Toshiba",TRUE
86,23,"1TB","Hitachi",TRUE
87,14,"1TB","Seagate",TRUE
88,15,"600GB","Seagate",TRUE
89,21,"1TB","Seagate",TRUE
90,20,"600GB","Hitachi",TRUE
91,10,"1TB","Hitachi",TRUE
92,24,"600GB","Hitachi",TRUE
93,21,"300GB","Hitachi",TRUE
94,21,"300GB","Hitachi",TRUE
95,18,"1TB","Hitachi",TRUE
96,20,"600GB","Seagate",TRUE
97,15,"1TB","Fujitsu",TRUE
98,16,"1TB","Hitachi",TRUE
99,15,"1TB","Toshiba",TRUE
100,14,"1TB","Toshiba",TRUE
101,34,"1TB","Seagate",TRUE
102,29,"1TB","Hitachi",TRUE
103,16,"1TB","Fujitsu",TRUE
104,30,"1TB","Hitachi",TRUE
105,17,"1TB","Hitachi",TRUE
106,22,"1TB","Fujitsu",TRUE
107,18,"600GB","Hitachi",TRUE
108,13,"600GB","Hitachi",TRUE
109,21,"300GB","Hitachi",TRUE
110,15,"1TB","Toshiba",TRUE
111,22,"300GB","Hitachi",TRUE
112,18,"600GB","Hitachi",TRUE
113,10,"600GB","Hitachi",TRUE
114,35,"1TB","Hitachi",TRUE
115,15,"600GB","Hitachi",TRUE
116,20,"1TB","Fujitsu",TRUE
117,18,"600GB","Seagate",TRUE
118,12,"600GB","Seagate",TRUE
119,18,"1TB","Toshiba",TRUE
120,16,"600GB","Hitachi",TRUE
121,27,"600GB","Seagate",TRUE
122,19,"1TB","Seagate",TRUE
123,21,"600GB","Hitachi",TRUE
124,17,"1TB","Fujitsu",TRUE
125,18,"600GB","Fujitsu",TRUE
126,15,"1TB","Toshiba",TRUE
127,19,"600GB","Hitachi",TRUE
128,16,"1TB","Seagate",TRUE
129,20,"1TB","Hitachi",TRUE
130,21,"1TB","Seagate",TRUE
131,22,"1TB","Hitachi",TRUE
132,15,"600GB","Seagate",TRUE
133,17,"1TB","Hitachi",TRUE
134,18,"1TB","Seagate",TRUE
135,24,"1TB","Seagate",TRUE
136,19,"1TB","Seagate",TRUE
137,19,"600GB","Seagate",TRUE
138,14,"1TB","Seagate",TRUE
139,13,"600GB","Seagate",TRUE
140,14,"600GB","Hitachi",TRUE
141,16,"600GB","Seagate",TRUE
142,17,"600GB","Seagate",TRUE
143,14,"1TB","Hitachi",TRUE
144,21,"600GB","Hitachi",TRUE
145,12,"600GB","Hitachi",TRUE
146,15,"1TB","Hitachi",TRUE
147,17,"600GB","Toshiba",TRUE
148,18,"600GB","Hitachi",TRUE
149,15,"1TB","Seagate",TRUE
150,19,"600GB","Seagate",TRUE
151,13,"1TB","Seagate",TRUE
152,15,"600GB","Seagate",TRUE
153,19,"300GB","Toshiba",TRUE
154,12,"300GB","Toshiba",TRUE
155,13,"1TB","Seagate",TRUE
156,14,"1TB","Hitachi",TRUE
157,11,"600GB","Hitachi",TRUE
158,19,"600GB","Hitachi",TRUE
159,18,"600GB","Hitachi",TRUE
160,22,"1TB","Toshiba",TRUE
161,15,"300GB","Seagate",TRUE
162,19,"1TB","Toshiba",TRUE
163,14,"600GB","Hitachi",TRUE
164,17,"1TB","Hitachi",TRUE
165,20,"1TB","Toshiba",TRUE
166,18,"1TB","Hitachi",TRUE
167,23,"300GB","Hitachi",TRUE
168,19,"600GB","Hitachi",TRUE
169,14,"600GB","Hitachi",TRUE
170,12,"1TB","Seagate",TRUE
171,15,"300GB","Hitachi",TRUE
172,20,"600GB","Hitachi",TRUE
173,21,"600GB","Hitachi",TRUE
174,21,"1TB","Hitachi",TRUE
175,20,"1TB","Seagate",TRUE
176,25,"600GB","Fujitsu",TRUE
177,26,"1TB","Seagate",TRUE
178,15,"600GB","Toshiba",TRUE
179,16,"600GB","Hitachi",TRUE
180,20,"1TB","Toshiba",TRUE
181,19,"600GB","Hitachi",TRUE
182,10,"300GB","Hitachi",TRUE
183,16,"1TB","Seagate",TRUE
184,24,"600GB","Toshiba",TRUE
185,21,"1TB","Hitachi",TRUE
186,18,"300GB","Hitachi",TRUE
187,21,"600GB","Toshiba",TRUE
188,15,"1TB","Hitachi",TRUE
189,26,"1TB","Fujitsu",TRUE
190,18,"1TB","Hitachi",TRUE
191,22,"1TB","Hitachi",TRUE
192,11,"1TB","Hitachi",TRUE
193,18,"1TB","Seagate",TRUE
194,23,"1TB","Fujitsu",TRUE
195,10,"600GB","Fujitsu",TRUE
196,22,"600GB","Toshiba",TRUE
197,17,"600GB","Hitachi",TRUE
198,13,"1TB","Seagate",TRUE
199,28,"1TB","Hitachi",TRUE
200,15,"600GB","Toshiba",TRUE
201,11,"300GB","Fujitsu",FALSE
202,13,"1TB","Toshiba",FALSE
203,19,"300GB","Fujitsu",FALSE
204,17,"1TB","Fujitsu",FALSE
205,17,"1TB","Hitachi",FALSE
206,14,"1TB","Toshiba",FALSE
207,14,"1TB","Seagate",FALSE
208,8,"1TB","Fujitsu",FALSE
209,19,"1TB","Toshiba",FALSE
210,12,"600GB","Seagate",FALSE
211,18,"1TB","Fujitsu",FALSE
212,11,"1TB","Toshiba",FALSE
213,17,"1TB","Seagate",FALSE
214,19,"600GB","Fujitsu",FALSE
215,16,"600GB","Hitachi",FALSE
216,14,"300GB","Fujitsu",FALSE
217,14,"600GB","Toshiba",FALSE
218,17,"1TB","Hitachi",FALSE
219,16,"600GB","Hitachi",FALSE
220,15,"300GB","Seagate",FALSE
221,7,"1TB","Seagate",FALSE
222,15,"1TB","Hitachi",FALSE
223,14,"1TB","Toshiba",FALSE
224,16,"600GB","Fujitsu",FALSE
225,13,"1TB","Seagate",FALSE
226,19,"1TB","Seagate",FALSE
227,11,"1TB","Fujitsu",FALSE
228,17,"300GB","Seagate",FALSE
229,15,"1TB","Toshiba",FALSE
230,20,"600GB","Toshiba",FALSE
231,18,"1TB","Hitachi",FALSE
232,20,"300GB","Toshiba",FALSE
233,18,"300GB","Seagate",FALSE
234,10,"300GB","Hitachi",FALSE
235,16,"600GB","Seagate",FALSE
236,14,"300GB","Hitachi",FALSE
237,13,"600GB","Seagate",FALSE
238,14,"300GB","Hitachi",FALSE
239,16,"300GB","Fujitsu",FALSE
240,16,"600GB","Fujitsu",FALSE
241,24,"1TB","Fujitsu",FALSE
242,18,"1TB","Toshiba",FALSE
243,19,"1TB","Hitachi",FALSE
244,17,"1TB","Seagate",FALSE
245,15,"300GB","Fujitsu",FALSE
246,12,"300GB","Hitachi",FALSE
247,16,"300GB","Hitachi",FALSE
248,13,"300GB","Toshiba",FALSE
