EVENT_TIME,EVENT_ID,CHANNEL,CHALLENGE_RESULT,USER_ID,IP_ADDRESS,ISP,USER_COUNTRY,PAYEE_ID,PAYEE_COUNTRY,AMOUNT,IS_FRAUD
20160801 00:01,1,MOBILE-APP,Y,user260,86.132.25.214,ISP7,USA,payee48,CHN,2,G
20160801 00:05,2,WEB,N,user48,113.136.87.62,ISP8,GBR,payee2,YEM,20,G
20160801 00:07,3,MOBILE-APP,N,user181,94.97.9.208,ISP16,CHN,payee79,RUS,10,G
20160801 00:08,4,WEB,N,user242,170.245.72.244,ISP12,USA,payee33,RUS,20,G
20160801 00:08,5,MOBILE-BROWSER,N,user281,124.83.40.103,ISP29,CHN,payee5,CHN,90000,G
20160801 00:09,6,MOBILE-BROWSER,N,user223,222.197.49.177,ISP7,ISL,payee61,RUS,2000,G
20160801 00:10,7,WEB,N,user108,64.230.189.186,ISP9,ITA,payee2,CHN,50,G
20160801 00:14,8,MOBILE-APP,N,user186,185.132.167.139,ISP6,DEU,payee62,RUS,300,G
20160801 00:19,9,WEB,N,user52,5.101.29.183,ISP12,MAC,payee2,NGA,40000,G
20160801 00:19,10,MOBILE-APP,N,user74,132.255.3.34,ISP26,USA,payee83,VEN,900,G
20160801 00:20,11,MOBILE-BROWSER,N,user159,11.94.229.158,ISP11,USA,payee75,VCT,6,G
20160801 00:20,12,WEB,Y,user212,211.20.30.205,ISP3,USA,payee54,RUS,5000,F
20160801 00:26,13,MOBILE-APP,N,user300,241.123.79.206,ISP27,NIC,payee25,USA,8,G
20160801 00:26,14,MOBILE-APP,Y,user135,145.199.252.46,ISP26,CHN,payee89,NGA,70000,G
20160801 00:26,15,MOBILE-APP,N,user89,244.255.227.56,ISP6,NGA,payee26,USA,1,G
20160801 00:27,16,MOBILE-APP,N,user265,173.74.133.248,ISP30,CHN,payee13,NGA,2,G
20160801 00:29,17,MOBILE-BROWSER,N,user250,160.83.11.23,ISP24,GBR,payee26,UKR,100,G
20160801 00:34,18,WEB,N,user192,140.117.253.108,ISP18,MNP,payee58,UGA,400,G
20160801 00:35,19,MOBILE-BROWSER,N,user167,3.192.111.10,ISP24,NOR,payee5,TZA,70,G
20160801 00:42,20,WEB,Y,user134,153.99.81.92,ISP3,USA,payee39,TWN,8000,G
20160801 00:44,21,MOBILE-APP,Y,user211,77.243.97.186,ISP27,CHN,payee56,TUV,90000,G
20160801 00:49,22,MOBILE-APP,N,user11,162.164.140.239,ISP28,PLW,payee34,NGA,5000,G
20160801 00:51,23,MOBILE-BROWSER,N,user147,181.160.157.106,ISP5,USA,payee30,CHN,10,G
20160801 00:52,24,WEB,N,user84,171.226.151.80,ISP25,USA,payee8,CHN,60,G
20160801 00:54,25,MOBILE-BROWSER,N,user29,181.90.204.126,ISP29,PNG,payee78,TON,9,G
20160801 00:55,26,MOBILE-APP,Y,user54,54.127.195.195,ISP27,USA,payee54,TLS,50000,G
20160801 01:06,27,MOBILE-APP,N,user263,143.84.183.130,ISP1,USA,payee73,USA,3,G
20160801 01:06,28,MOBILE-BROWSER,Y,user294,35.184.153.67,ISP27,GBR,payee21,NGA,10,G
20160801 01:08,29,WEB,Y,user270,76.165.136.188,ISP24,USA,payee98,TJK,3,G
20160801 01:12,30,WEB,N,user206,102.244.211.117,ISP25,POL,payee70,USA,30,G
20160801 01:16,31,WEB,Y,user165,244.87.40.178,ISP5,COL,payee31,NGA,80,G
20160801 01:22,32,MOBILE-BROWSER,Y,user16,38.223.123.100,ISP2,USA,payee50,ZAF,200,G
20160801 01:23,33,MOBILE-BROWSER,N,user196,26.69.236.240,ISP8,GBR,payee4,YEM,5,G
20160801 01:28,34,MOBILE-BROWSER,Y,user203,34.127.133.45,ISP12,CHN,payee1,XKX,10,G
20160801 01:30,35,MOBILE-BROWSER,Y,user201,121.129.132.213,ISP6,NLD,payee16,WSM,30000,G
20160801 01:32,36,WEB,N,user5,96.173.141.251,ISP9,ARG,payee65,WLF,600,G
20160801 01:34,37,WEB,N,user42,138.34.109.110,ISP24,USA,payee2,VUT,9000,G
20160801 01:36,38,WEB,Y,user49,244.89.177.116,ISP25,USA,payee7,CHN,5,G
20160801 01:37,39,MOBILE-APP,Y,user102,70.151.17.89,ISP17,CHN,payee5,CHN,60000,F
20160801 01:38,40,MOBILE-APP,N,user211,81.196.133.133,ISP3,CHN,payee40,XKX,9000,F
20160801 01:39,41,WEB,Y,user232,75.55.172.230,ISP29,DEU,payee41,RUS,100,G
20160801 01:43,42,WEB,N,user171,51.117.199.52,ISP22,MAC,payee9,NGA,40,G
20160801 01:45,43,WEB,N,user59,122.118.10.190,ISP2,NCL,payee60,USA,600,G
20160801 01:45,44,MOBILE-APP,N,user268,63.170.159.251,ISP28,NZL,payee12,USA,600,G
20160801 01:45,45,MOBILE-APP,N,user211,28.69.200.44,ISP29,USA,payee34,NGA,5,F
20160801 01:47,46,MOBILE-APP,N,user123,236.34.131.34,ISP1,USA,payee2,USA,300,G
20160801 01:51,47,MOBILE-BROWSER,N,user87,226.215.102.251,ISP12,NER,payee5,USA,7000,G
20160801 01:54,48,WEB,Y,user244,167.190.55.230,ISP13,NGA,payee71,USA,1000,G
20160801 01:58,49,MOBILE-BROWSER,N,user293,52.244.241.12,ISP15,USA,payee26,URY,30,G
20160801 02:00,50,MOBILE-APP,Y,user166,204.88.20.108,ISP6,PRK,payee17,UKR,40,G
20160801 02:00,51,MOBILE-BROWSER,N,user276,70.125.145.48,ISP26,USA,payee14,UGA,8,G
20160801 02:04,52,MOBILE-APP,N,user222,179.41.226.141,ISP1,NOR,payee88,TZA,100000,G
20160801 02:07,53,MOBILE-BROWSER,Y,user102,113.40.188.143,ISP5,OMN,payee94,TWN,80000,G
20160801 02:07,54,MOBILE-APP,Y,user205,223.222.243.244,ISP14,USA,payee99,CHN,4,G
20160801 02:08,55,MOBILE-APP,Y,user173,55.128.10.6,ISP18,PLW,payee96,CHN,70000,G
20160801 02:11,56,MOBILE-BROWSER,N,user220,137.43.22.244,ISP16,USA,payee66,CHN,7,G
20160801 02:12,57,MOBILE-BROWSER,N,user106,181.185.198.236,ISP5,PAN,payee95,TTO,5000,G
20160801 02:14,58,WEB,N,user103,59.207.6.25,ISP25,USA,payee2,USA,6,G
